month,category,amount,description
2026-01,Salaries,39457.96,Salaries expenses for 2026-01
2026-01,Marketing,26139.8,Marketing expenses for 2026-01
2026-01,Logistics,14941.23,Logistics expenses for 2026-01
2026-01,Technology,8697.0,Technology expenses for 2026-01
2026-01,Office,5624.41,Office expenses for 2026-01
2026-01,Returns & Refunds,2899.53,Returns & Refunds expenses for 2026-01
2026-02,Salaries,46301.54,Salaries expenses for 2026-02
2026-02,Marketing,25005.22,Marketing expenses for 2026-02
2026-02,Logistics,17167.25,Logistics expenses for 2026-02
2026-02,Technology,8794.6,Technology expenses for 2026-02
2026-02,Office,5617.61,Office expenses for 2026-02
2026-02,Returns & Refunds,2778.91,Returns & Refunds expenses for 2026-02
2026-03,Salaries,48679.11,Salaries expenses for 2026-03
2026-03,Marketing,23241.05,Marketing expenses for 2026-03
2026-03,Logistics,13689.34,Logistics expenses for 2026-03
2026-03,Technology,9066.24,Technology expenses for 2026-03
2026-03,Office,4278.96,Office expenses for 2026-03
2026-03,Returns & Refunds,3418.85,Returns & Refunds expenses for 2026-03
2026-04,Salaries,40265.04,Salaries expenses for 2026-04
2026-04,Marketing,27395.79,Marketing expenses for 2026-04
2026-04,Logistics,13991.65,Logistics expenses for 2026-04
2026-04,Technology,7641.69,Technology expenses for 2026-04
2026-04,Office,4575.14,Office expenses for 2026-04
2026-04,Returns & Refunds,3076.96,Returns & Refunds expenses for 2026-04
2026-05,Salaries,42949.29,Salaries expenses for 2026-05
2026-05,Marketing,26180.45,Marketing expenses for 2026-05
2026-05,Logistics,12820.41,Logistics expenses for 2026-05
2026-05,Technology,6954.5,Technology expenses for 2026-05
2026-05,Office,4399.49,Office expenses for 2026-05
2026-05,Returns & Refunds,2927.09,Returns & Refunds expenses for 2026-05
2026-06,Salaries,49249.75,Salaries expenses for 2026-06
2026-06,Marketing,27911.33,Marketing expenses for 2026-06
2026-06,Logistics,19392.31,Logistics expenses for 2026-06
2026-06,Technology,8178.49,Technology expenses for 2026-06
2026-06,Office,5402.55,Office expenses for 2026-06
2026-06,Returns & Refunds,5900.89,Returns & Refunds expenses for 2026-06
